dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B00013,2019-07-01 00:40:00,2019-07-01 01:19:25,264,264,
B00014,2019-07-01 00:00:00,2019-07-01 01:06:35,264,264,
B00014,2019-07-01 00:04:27,2019-07-01 00:07:38,264,264,
B00014,2019-07-01 00:39:51,2019-07-01 00:42:24,264,264,
B00014,2019-07-01 00:10:00,2019-07-01 02:49:25,264,264,
B00021,2019-07-01 00:38:21,2019-07-01 01:10:54,56,260,
B00021,2019-07-01 00:17:48,2019-07-01 00:23:45,173,173,
B00021,2019-07-01 00:04:10,2019-07-01 00:16:46,260,226,
B00030,2019-07-01 00:15:00,2019-07-01 00:30:00,264,264,
B00037,2019-07-01 00:28:16,2019-07-01 00:41:48,264,265,
B00037,2019-07-01 00:02:50,2019-07-01 00:13:59,264,265,
B00037,2019-07-01 00:23:03,2019-07-01 00:28:51,264,265,
B00037,2019-07-01 00:37:16,2019-07-01 00:53:55,264,265,
B00037,2019-07-01 00:43:08,2019-07-01 01:30:39,264,265,
B00037,2019-07-01 00:03:51,2019-07-01 00:17:37,264,265,
B00037,2019-07-01 00:06:38,2019-07-01 00:13:03,264,265,
B00037,2019-07-01 00:24:
