dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B00013,2019-06-01 00:51:33,2019-06-01 01:20:07,264,264,
B00013,2019-06-01 00:53:05,2019-06-01 01:09:38,264,264,
B00013,2019-06-01 00:23:41,2019-06-01 00:56:29,264,264,
B00013,2019-06-01 00:18:01,2019-06-01 00:19:48,264,264,
B00014,2019-06-01 00:02:31,2019-06-01 00:16:03,264,264,
B00014,2019-06-01 00:19:09,2019-06-02 00:48:15,264,264,
B00014,2019-06-01 00:57:24,2019-06-01 01:17:52,264,264,
B00014,2019-06-01 00:05:32,2019-06-02 00:30:33,264,264,
B00014,2019-06-01 00:01:20,2019-06-02 00:53:03,264,264,
B00021,2019-06-01 00:10:01,2019-06-01 00:19:19,56,56,
B00021,2019-06-01 00:42:26,2019-06-01 00:49:04,173,173,
B00021,2019-06-01 00:26:19,2019-06-01 00:38:00,82,82,
B00021,2019-06-01 00:59:57,2019-06-01 01:17:30,83,173,
B00021,2019-06-01 00:50:37,2019-06-01 01:09:04,223,223,
B00021,2019-06-01 00:36:14,2019-06-01 00:45:55,179,179,
B00030,2019-06-01 00:15:00,2019-06-01 00:30:00,264,264,
B00037,2019-06-01 00:19:26,2
