VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 

2,2016-05-01 00:15:25,2016-05-01 00:21:53,N,1,-73.861953735351563,40.750041961669922,-73.852859497070312,40.740276336669922,5,1.04,6,0.5,0.5,0,0,,0.3,7.3,1,1
2,2016-05-01 00:33:12,2016-05-01 00:51:45,N,1,-73.858810424804688,40.750919342041016,-73.903373718261719,40.703739166259766,5,6.60,21,0.5,0.5,0,0,,0.3,22.3,2,1
2,2016-05-01 00:38:38,2016-05-01 00:49:47,N,1,-73.966285705566406,40.710605621337891,-73.943603515625,40.717494964599609,2,1.97,9.5,0.5,0.5,1,0,,0.3,11.8,1,1
2,2016-05-01 00:04:10,2016-05-01 00:34:39,N,1,-73.954132080078125,40.787097930908203,-73.953399658203125,40.724899291992187,2,6.66,25.5,0.5,0.5,5.36,0,,0.3,32.16,1,1
2,2016-05-01 00:37:43,2016-05-01 00:45:28,N,1,-73.956298828125,40.72333145141
