VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

2,2018-08-01 00:03:22,2018-08-01 00:17:59,N,1,255,49,1,3.54,13.5,0.5,0.5,2.96,0,,0.3,17.76,1,1
2,2018-08-01 00:37:08,2018-08-01 00:46:53,N,1,256,112,1,1.94,8.5,0.5,0.5,1.96,0,,0.3,11.76,1,1
2,2018-08-01 00:12:45,2018-08-01 00:20:21,N,1,146,7,2,1.37,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2018-08-01 00:21:29,2018-08-01 00:27:41,N,1,7,260,2,1.10,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2018-08-01 00:03:24,2018-08-01 00:06:44,N,1,256,256,1,.56,4.5,0.5,0.5,1.74,0,,0.3,7.54,1,1
2,2018-08-01 00:13:17,2018-08-01 00:32:57,N,1,80,186,2,5.34,18.5,0.5,0.5,3.96,0,,0.3,23.76,1,1
1,2018-08-01 00:08:52,2018-08-01 00:13:40,N,1,75,238,1,1.60,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
1,2018-08-01 00:57:43,2018-08-01 01:04:59,N,1,74,168,1,1.80,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
1,2018-08-01 00:49:49,2018-0
