VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

2,2017-03-01 00:30:18,2017-03-01 00:30:47,N,1,264,264,1,.00,1.5,0.2,0,0,0,,0,1.7,1,1
2,2017-03-01 00:11:58,2017-03-01 01:05:54,N,1,95,49,1,18.77,57.5,0.5,0.5,0,0,,0.3,58.8,2,1
2,2017-03-01 00:54:44,2017-03-01 01:03:42,N,1,92,192,1,1.76,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2017-03-01 00:00:07,2017-03-01 00:04:39,N,1,70,70,2,1.15,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2017-03-01 00:17:05,2017-03-01 00:36:48,N,1,196,193,1,5.19,18.5,0.5,0.5,0,0,,0.3,19.8,1,1
2,2017-03-01 00:38:48,2017-03-01 00:45:59,N,1,7,179,1,1.52,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2017-03-01 00:06:06,2017-03-01 00:18:01,N,1,264,264,1,3.73,13,0.5,0.5,2.86,0,,0.3,17.16,1,1
2,2017-03-01 00:59:13,2017-03-01 01:10:17,N,1,75,186,1,3.70,12.5,0.5,0.5,0,0,,0.3,13.8,2,1
2,2017-03-01 00:05:27,2017-03-01 00:17:52,
