hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0003,B02867,2019-02-01 00:05:18,2019-02-01 00:14:57,245,251,
HV0003,B02879,2019-02-01 00:41:29,2019-02-01 00:49:39,216,197,
HV0005,B02510,2019-02-01 00:51:34,2019-02-01 01:28:29,261,234,
HV0005,B02510,2019-02-01 00:03:51,2019-02-01 00:07:16,87,87,
HV0005,B02510,2019-02-01 00:09:44,2019-02-01 00:39:56,87,198,
HV0005,B02510,2019-02-01 00:59:55,2019-02-01 01:06:28,198,198,1
HV0005,B02510,2019-02-01 00:12:06,2019-02-01 00:42:13,161,148,
HV0005,B02510,2019-02-01 00:45:35,2019-02-01 01:14:56,148,21,
HV0003,B02867,2019-02-01 00:10:48,2019-02-01 00:20:23,226,260,
HV0003,B02867,2019-02-01 00:32:32,2019-02-01 00:40:25,7,223,
HV0003,B02867,2019-02-01 00:59:54,2019-02-01 01:09:31,129,70,
HV0003,B02764,2019-02-01 00:01:11,2019-02-01 00:21:35,263,229,
HV0003,B02764,2019-02-01 00:36:22,2019-02-01 00:55:30,162,129,
HV0002,B02914,2019-02-01 00:10:09,2019-02-01 00:31:04,161,33,
HV0003,B02864,2019-02-01 00:
