hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0002,B03035,2019-06-01 00:40:55,2019-06-01 01:03:58,256,87,
HV0005,B02510,2019-06-01 00:04:47,2019-06-01 00:25:53,163,265,
HV0005,B02510,2019-06-01 00:48:00,2019-06-01 00:59:49,132,216,1
HV0002,B03035,2019-06-01 00:59:25,2019-06-01 01:04:07,152,116,
HV0003,B02682,2019-06-01 00:05:11,2019-06-01 00:23:35,148,233,
HV0003,B02682,2019-06-01 00:31:14,2019-06-01 00:49:11,233,148,
HV0003,B02764,2019-06-01 00:27:03,2019-06-01 00:33:39,50,238,
HV0003,B02764,2019-06-01 00:37:09,2019-06-01 01:23:13,239,255,
HV0003,B02864,2019-06-01 00:09:51,2019-06-01 00:21:52,18,169,
HV0003,B02864,2019-06-01 00:25:29,2019-06-01 00:38:50,169,213,
HV0003,B02864,2019-06-01 00:46:38,2019-06-01 01:00:02,212,119,
HV0003,B02865,2019-06-01 00:18:55,2019-06-01 00:53:51,142,231,
HV0003,B02865,2019-06-01 00:57:51,2019-06-01 01:20:04,231,14,
HV0003,B02764,2019-06-01 00:08:18,2019-06-01 00:46:27,44,22,
HV0003,B02764,2019-06-01 0
