VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

2,2017-11-01 00:48:25,2017-11-01 01:08:05,N,1,97,7,1,9.40,27.5,0.5,0.5,2.5,0,,0.3,31.3,1,1
2,2017-11-01 00:06:46,2017-11-01 00:24:26,N,1,112,79,1,4.81,18,0.5,0.5,4.82,0,,0.3,24.12,1,1
2,2017-11-01 00:03:58,2017-11-01 00:12:06,N,1,223,7,1,1.72,8,0.5,0.5,2.79,0,,0.3,12.09,1,1
2,2017-11-01 00:25:22,2017-11-01 00:40:05,N,1,7,129,1,3.13,13,0.5,0.5,0,0,,0.3,14.3,2,1
1,2017-11-01 00:47:38,2017-11-01 00:52:44,N,1,255,112,1,1.00,6,0.5,0.5,1.45,0,,0.3,8.75,1,1
1,2017-11-01 00:57:33,2017-11-01 01:01:48,N,1,112,256,1,.90,5,0.5,0.5,1.25,0,,0.3,7.55,1,1
2,2017-11-01 00:05:03,2017-11-01 00:09:51,N,1,7,193,1,.94,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2017-11-01 00:36:29,2017-11-01 00:40:32,N,1,7,7,1,.71,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2017-11-01 00:17:56,2017-11-01 00:31:2
