VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

1,2017-12-01 00:33:14,2017-12-01 00:40:22,N,1,42,24,1,1.40,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2017-12-01 00:16:06,2017-12-01 00:23:11,N,1,49,25,5,1.60,7.5,0.5,0.5,2.64,0,,0.3,11.44,1,1
2,2017-12-01 00:24:05,2017-12-01 00:32:24,N,1,25,49,5,1.91,8.5,0.5,0.5,2,0,,0.3,11.8,1,1
2,2017-12-01 00:47:42,2017-12-01 01:02:11,N,1,256,198,5,3.54,13.5,0.5,0.5,0,0,,0.3,14.8,2,1
2,2017-12-01 00:21:33,2017-12-01 00:41:14,N,1,244,140,2,7.79,24,0.5,0.5,5.06,0,,0.3,30.36,1,1
2,2017-12-01 00:00:39,2017-12-01 00:09:39,N,1,75,140,1,2.64,9.5,0.5,0.5,2,0,,0.3,12.8,1,1
2,2017-12-01 00:31:22,2017-12-01 00:37:14,N,1,112,255,1,1.13,6,0.5,0.5,1.46,0,,0.3,8.76,1,1
1,2017-12-01 00:07:40,2017-12-01 00:10:18,N,1,41,42,2,.70,4.5,0.5,0.5,1.15,0,,0.3,6.95,1,1
1,2017-12-01 00:37:17,2017-12
