dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B00009,2019-09-01 00:35:00,2019-09-01 00:59:00,264,264,
B00009,2019-09-01 00:48:00,2019-09-01 01:09:00,264,264,
B00014,2019-09-01 00:16:18,2019-09-02 00:35:37,264,264,
B00014,2019-09-01 00:55:03,2019-09-01 01:09:35,264,264,
B00014,2019-09-01 00:13:08,2019-09-02 01:12:31,264,264,
B00014,2019-09-01 00:07:33,2019-09-02 00:16:28,264,264,
B00014,2019-09-01 00:40:36,2019-09-01 01:26:14,264,264,
B00014,2019-09-01 00:05:22,2019-09-02 00:33:31,264,264,
B00021,2019-09-01 00:34:18,2019-09-01 00:43:49,70,129,
B00021,2019-09-01 00:58:32,2019-09-01 01:05:07,7,7,
B00021,2019-09-01 00:20:37,2019-09-01 00:29:35,82,82,
B00021,2019-09-01 00:24:41,2019-09-01 00:29:56,226,173,
B00021,2019-09-01 00:06:42,2019-09-01 00:13:33,129,129,
B00021,2019-09-01 00:25:53,2019-09-01 00:35:23,7,260,
B00021,2019-09-01 00:28:52,2019-09-01 00:43:40,82,129,
B00021,2019-09-01 00:18:12,2019-09-01 00:23:31,129,129,
B00021,2019-09-01 00:15:20,2019-0
