VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

2,2017-02-01 00:00:15,2017-02-01 00:07:09,N,1,134,216,1,4.54,13.5,0.5,0.5,4.44,0,,0.3,19.24,1,1
2,2017-02-01 00:03:19,2017-02-01 00:17:59,N,1,43,244,1,3.21,13.5,0.5,0.5,0,0,,0.3,14.8,2,1
2,2017-02-01 00:31:47,2017-02-01 00:40:23,N,1,24,41,1,1.63,8,0.5,0.5,1,0,,0.3,10.3,1,1
2,2017-02-01 00:44:14,2017-02-01 00:49:21,N,1,43,263,1,.76,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2017-02-01 00:03:17,2017-02-01 00:09:45,N,1,95,121,1,2.24,8.5,0.5,0.5,1,0,,0.3,10.8,1,1
2,2017-02-01 00:21:35,2017-02-01 00:30:44,N,1,95,96,1,2.34,10,0.5,0.5,0,0,,0.3,11.3,1,1
2,2017-02-01 00:49:22,2017-02-01 01:00:52,N,1,95,258,1,3.01,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
2,2017-02-01 00:03:59,2017-02-01 00:07:50,N,1,7,223,5,.91,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2017-02-01 00:35:36,2017-02-01 00:46:43,
