VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

2,2018-05-01 00:43:55,2018-05-01 00:56:23,N,1,80,189,5,3.67,13.5,0.5,0.5,4.44,0,,0.3,19.24,1,1
2,2018-05-01 00:40:45,2018-05-01 00:45:40,N,1,97,49,1,1.14,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1
1,2018-05-01 00:14:55,2018-05-01 00:22:46,N,1,7,179,1,1.50,7.5,0.5,0.5,0,0,,0.3,8.8,1,1
1,2018-05-01 00:30:28,2018-05-01 00:47:48,N,1,7,173,1,3.60,15,0.5,0.5,0,0,,0.3,16.3,2,1
1,2018-05-01 00:25:56,2018-05-01 00:45:07,N,1,256,186,1,5.40,19,0.5,0.5,2,0,,0.3,22.3,1,1
2,2018-05-01 00:04:50,2018-05-01 00:28:09,N,1,255,186,5,5.52,19.5,0.5,0.5,0,0,,0.3,20.8,2,1
2,2018-05-01 00:27:11,2018-05-01 00:35:22,N,1,255,145,1,2.75,10,0.5,0.5,2.26,0,,0.3,13.56,1,1
2,2018-05-01 00:54:45,2018-05-01 01:00:06,N,1,255,112,1,1.13,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2018-05-01 00:05:55,2018-05-0
