dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B00009,2019-12-01 00:47:00,2019-12-01 00:52:00,264,264,
B00009,2019-12-01 00:27:00,2019-12-01 00:44:00,264,264,
B00014,2019-12-01 00:42:18,2019-12-01 01:31:31,264,264,
B00014,2019-12-01 00:43:08,2019-12-01 01:07:38,264,264,
B00021,2019-12-01 00:52:19,2019-12-01 00:59:39,56,56,
B00021,2019-12-01 00:49:01,2019-12-01 00:59:43,82,82,
B00021,2019-12-01 00:11:25,2019-12-01 00:20:38,93,95,
B00021,2019-12-01 00:32:52,2019-12-01 00:39:15,173,173,
B00021,2019-12-01 00:10:52,2019-12-01 00:33:08,83,7,
B00021,2019-12-01 00:34:27,2019-12-01 00:42:22,56,56,
B00037,2019-12-01 00:10:16,2019-12-01 00:21:08,264,71,
B00037,2019-12-01 00:26:12,2019-12-01 00:34:43,264,91,
B00037,2019-12-01 00:48:10,2019-12-01 00:55:15,264,39,
B00037,2019-12-01 00:18:48,2019-12-01 00:26:32,264,91,
B00037,2019-12-01 00:50:12,2019-12-01 00:57:49,264,72,
B00037,2019-12-01 00:09:12,2019-12-01 00:21:12,264,39,
B00037,2019-12-01 00:20:39,2019-12-01 00
