VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

2,2018-03-01 00:07:46,2018-03-01 00:22:02,N,1,77,91,1,2.92,12,0.5,0.5,0,0,,0.3,13.3,1,1
1,2018-03-01 00:31:29,2018-03-01 00:56:08,N,1,127,226,2,12.00,35.5,0.5,0.5,8.5,5.76,,0.3,51.06,1,1
2,2018-03-01 00:12:00,2018-03-01 00:28:24,N,1,256,181,5,4.72,0,0,0,0,0,,0,0,2,1
2,2018-03-01 00:43:57,2018-03-01 00:58:38,N,1,65,62,5,3.93,14,0.5,0.5,3.06,0,,0.3,18.36,1,1
2,2018-03-01 00:08:00,2018-03-01 00:12:55,N,1,255,112,1,1.39,6,0.5,0.5,0,0,,0.3,7.3,1,1
2,2018-03-01 00:20:09,2018-03-01 00:40:32,N,1,112,181,1,7.13,23,0.5,0.5,0,0,,0.3,24.3,1,1
2,2018-03-01 00:54:07,2018-03-01 00:59:25,N,1,40,54,1,.87,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
1,2018-03-01 00:22:21,2018-03-01 00:26:18,N,1,255,112,1,1.10,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
1,2018-03-01 00:01:16,2018-03-01 00:22:11,N,
