VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2019-04-01 00:18:40,2019-04-01 00:37:56,N,1,129,234,1,7.72,24,0.5,0.5,0,6.12,,0.3,34.17,2,1,2.75
2,2019-04-01 00:18:24,2019-04-01 00:28:09,N,1,7,83,1,2.73,11,0.5,0.5,0,0,,0.3,12.3,2,1,0
2,2019-04-01 00:31:24,2019-04-01 00:38:28,N,1,82,82,1,1.57,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2019-04-01 00:48:30,2019-04-01 00:58:28,N,1,82,83,1,.88,8,0.5,0.5,0,0,,0.3,9.3,2,1,0
1,2019-04-01 00:04:42,2019-04-01 00:16:50,N,1,7,129,1,3.10,12,0.5,0.5,0,0,,0.3,13.3,2,1,0
1,2019-04-01 00:01:51,2019-04-01 00:10:34,N,1,179,129,1,2.80,10.5,0.5,0.5,3.5,0,,0.3,15.3,1,1,0
1,2019-04-01 00:34:12,2019-04-01 00:44:59,N,1,260,95,1,3.00,11.5,0.5,0.5,0,0,,0.3,12.8,2,1,0
2,2019-04-01 00:25:18,2019-04-01 00:33:51,N,1,74,151,1,2.86,10,0.5,0.5,2.26,0,,0.3,13.56,1,1,0
1
