dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B00013,2019-11-01 00:24:35,2019-11-01 01:18:05,264,264,
B00013,2019-11-01 00:43:53,2019-11-01 01:21:20,264,264,
B00013,2019-11-01 00:47:06,2019-11-01 00:47:43,264,264,
B00013,2019-11-01 00:47:09,2019-11-01 00:48:17,264,264,
B00014,2019-11-01 00:56:35,2019-11-01 01:00:26,264,264,
B00014,2019-11-01 00:47:26,2019-11-01 01:02:06,264,264,
B00014,2019-11-01 00:41:33,2019-11-01 01:05:06,264,264,
B00014,2019-11-01 00:58:06,2019-11-01 01:45:05,264,264,
B00014,2019-11-01 00:22:50,2019-11-01 00:51:01,264,264,
B00021,2019-11-01 00:54:23,2019-11-01 01:07:44,70,92,
B00021,2019-11-01 00:34:33,2019-11-01 00:53:55,173,82,
B00021,2019-11-01 00:59:04,2019-11-01 01:05:26,173,70,
B00021,2019-11-01 00:15:38,2019-11-01 00:24:53,70,70,
B00021,2019-11-01 00:28:33,2019-11-01 00:41:13,173,82,
B00021,2019-11-01 00:50:11,2019-11-01 01:28:18,173,28,
B00021,2019-11-01 00:44:06,2019-11-01 00:55:50,56,82,
B00021,2019-11-01 00:57:18,2019-1
