VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2020-03-01 00:20:18,2020-03-01 00:45:29,N,1,41,13,1,8.24,26.5,0.5,0.5,7.64,0,,0.3,38.19,1,1,2.75
2,2020-03-01 00:15:42,2020-03-01 00:44:36,N,1,181,107,1,4.87,21,0.5,0.5,0,0,,0.3,25.05,2,1,2.75
2,2020-03-01 00:36:18,2020-03-01 00:41:03,N,1,41,166,1,.69,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
1,2020-03-01 00:22:14,2020-03-01 00:32:57,N,1,129,7,1,1.80,9,0.5,0.5,0,0,,0.3,10.3,2,1,0
2,2020-03-01 00:07:22,2020-03-01 00:14:16,N,1,74,152,1,1.25,7,0.5,0.5,2.49,0,,0.3,10.79,1,1,0
2,2020-03-01 00:17:27,2020-03-01 00:22:35,N,1,66,65,2,.75,5,0.5,0.5,1.58,0,,0.3,7.88,1,1,0
2,2020-03-01 00:35:10,2020-03-01 01:01:06,N,1,255,263,2,6.26,22,0.5,0.5,3,0,,0.3,31,1,1,2.75
2,2020-03-01 00:27:52,2020-03-01 00:57:32,N,1,223,50,1,6.23,23.5,0.5,0.5,6.89,0,,0.3,34.4
