,226,262,168,264,215,14,34,74,70,95,238,47,177,223,157,260,146,83,258,53,196,33,106,193,121,190,18,62,17,166,116,7,61,130,97,181,36,91,173,56,216,65,263,236,197,202,40,247,174,189,255,122,210,133,182,244,28,201,256,217,77,42,250,52,167,37,212,205,145,135,119,20,82,159,198,75,225,80,89,92,112,24,188,113,185,129,134,208,49,69,41,179,160,25,151,43,39,152,228,66,29,10,218,123,136,200,96,150,169,142,147,237,21,126,76,257,8,125,60,32,73,265,252,131,171,232,241,254,186,102,148,161,127,158,213,248,108,140,54,45,192,111,71,120,195,117,87,78,243,180,85,239,35,162,57,3,132,231,68,141,235,94,93,242,50,137,26,63,72,246,144,15,143,22,183,224,249,230,81,229,100,114,155,23,9,164,107,203,19,128,211,138,259,79,261,206,48,163,175,4,209,149,227,219,191,170,55,64,220,90,101,67,153,165,51,207,88,139,234,240,98,178,13,16,38,233,221,11,31,154,86,124,46,222,115,194,156,59,58,12,172,251,184,187,118,253,84,30,109,214,204,245,1,6,27,44,2,99,176,5,105
0,"{'mean': 1.2, 'std': 0.44721359549995804, 'count': 5}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 6}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.2272727272727273, 'std': 0.42893202722888857, 'count': 22}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.2222222222222223, 'std': 0.5483188805533162, 'count': 18}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 16}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.1666666666666667, 'std': 0.38924947208076155, 'count': 12}","{'mean': 1.0, 'std': 0.0, 'count': 7}","{'mean': 1.0, 'std': 0.0, 'count': 8}","{'mean': 2.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 5}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.1111111111111112, 'std': 0.33333333333333337, 'count': 9}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.1111111111111112, 'std': 0.33333333333333337, 'count': 9}","{'mean': 1.0, 'std': 0.0, 'count': 9}","{'mean': 1.0, 'std': 0.0, 'count': 4}","{'mean': 1.1666666666666667, 'std': 0.3790490217894517, 'count': 30}","{'mean': 1.0909090909090908, 'std': 0.30151134457776363, 'count': 11}","{'mean': 1.1, 'std': 0.31622776601683794, 'count': 10}","{'mean': 1.1818181818181819, 'std': 0.40451991747794525, 'count': 11}","{'mean': 1.0, 'std': 0.0, 'count': 9}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 4}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': 0.0, 'count': 4}","{'mean': 1.1428571428571428, 'std': 0.3631365196012815, 'count': 14}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 10}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.1666666666666667, 'std': 0.38924947208076155, 'count': 12}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.2432432432432432, 'std': 0.6414136040118041, 'count': 37}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 4}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 6}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 7}","{'mean': 1.0, 'std': 0.0, 'count': 4}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0833333333333333, 'std': 0.28867513459481287, 'count': 12}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 11}","{'mean': 1.0, 'std': 0.0, 'count': 10}","{'mean': 1.1428571428571428, 'std': 0.3631365196012815, 'count': 14}","{'mean': 1.0, 'std': 0.0, 'count': 4}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.2857142857142858, 'std': 0.46291004988627577, 'count': 21}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 2.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 16}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 8}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.375, 'std': 0.8850612031567836, 'count': 16}","{'mean': 1.0, 'std': 0.0, 'count': 9}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 9}","{'mean': 2.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 4}","{'mean': 1.3333333333333333, 'std': 0.5773502691896257, 'count': 3}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': 0.0, 'count': 2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"{'mean': 1.3513513513513513, 'std': 0.5876609101729886, 'count': 37}","{'mean': 1.3333333333333333, 'std': 0.5773502691896257, 'count': 3}","{'mean': 1.1818181818181819, 'std': 0.40451991747794525, 'count': 11}","{'mean': 1.1666666666666667, 'std': 0.408248290463863, 'count': 6}","{'mean': 1.2, 'std': 0.41039134083406165, 'count': 20}","{'mean': 1.0, 'std': 0.0, 'count': 2}",,"{'mean': 1.8421052631578947, 'std': 1.1770039701991926, 'count': 57}","{'mean': 1.1428571428571428, 'std': 0.36313651960128146, 'count': 14}","{'mean': 1.3863636363636365, 'std': 0.6893174612381909, 'count': 44}","{'mean': 1.2105263157894737, 'std': 0.41885390829169555, 'count': 19}","{'mean': 1.5, 'std': 0.7071067811865476, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 2.1016949152542375, 'std': 1.4104892188007003, 'count': 59}","{'mean': 1.125, 'std': 0.3378319623460881, 'count': 24}","{'mean': 1.3265306122448979, 'std': 0.6254250255506522, 'count': 49}","{'mean': 1.0714285714285714, 'std': 0.2672612419124244, 'count': 14}","{'mean': 1.4375, 'std': 0.6189220598177385, 'count': 32}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': 0.0, 'count': 18}","{'mean': 1.1428571428571428, 'std': 0.36313651960128146, 'count': 14}","{'mean': 1.3571428571428572, 'std': 0.6333236937766509, 'count': 14}","{'mean': 1.2, 'std': 0.5231483637805969, 'count': 20}","{'mean': 1.0, 'std': 0.0, 'count': 9}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.2857142857142858, 'std': 0.48795003647426666, 'count': 7}","{'mean': 1.5757575757575757, 'std': 0.902437775912522, 'count': 33}","{'mean': 1.2413793103448276, 'std': 0.6355634403421168, 'count': 29}","{'mean': 1.3055555555555556, 'std': 0.709907215041694, 'count': 36}","{'mean': 2.5789473684210527, 'std': 1.870922466911171, 'count': 76}","{'mean': 1.3888888888888888, 'std': 0.6448821720849599, 'count': 36}","{'mean': 1.2, 'std': 0.4216370213557839, 'count': 10}","{'mean': 1.3829787234042554, 'std': 0.6098179161371148, 'count': 47}","{'mean': 1.872340425531915, 'std': 1.3927923356648582, 'count': 47}","{'mean': 1.0714285714285714, 'std': 0.26726124191242434, 'count': 14}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.263157894736842, 'std': 0.5619514869490164, 'count': 19}","{'mean': 1.3181818181818181, 'std': 0.5679003631895497, 'count': 22}","{'mean': 1.0526315789473684, 'std': 0.22941573387056174, 'count': 19}","{'mean': 1.2142857142857142, 'std': 0.4986754943620638, 'count': 28}","{'mean': 1.1111111111111112, 'std': 0.3233808333817773, 'count': 18}","{'mean': 1.0714285714285714, 'std': 0.26726124191242434, 'count': 14}","{'mean': 1.2307692307692308, 'std': 0.4385290096535146, 'count': 13}",,"{'mean': 1.5769230769230769, 'std': 0.9021342216356466, 'count': 26}","{'mean': 1.0, 'std': 0.0, 'count': 6}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0869565217391304, 'std': 0.28810406552003043, 'count': 23}","{'mean': 1.5, 'std': 0.7881701093115123, 'count': 34}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.25, 'std': 0.621581560508061, 'count': 12}",,"{'mean': 1.0, 'std': 0.0, 'count': 5}","{'mean': 1.2857142857142858, 'std': 0.5185629788417314, 'count': 35}","{'mean': 1.16, 'std': 0.3741657386773941, 'count': 25}",,"{'mean': 2.1, 'std': 1.5980757659905098, 'count': 40}","{'mean': 1.0, 'std': 0.0, 'count': 10}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 2.2, 'std': 1.368379979434054, 'count': 70}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 6}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.3, 'std': 0.6749485577105528, 'count': 10}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.4, 'std': 0.5163977794943223, 'count': 10}","{'mean': 1.0, 'std': 0.0, 'count': 14}","{'mean': 1.0, 'std': 0.0, 'count': 7}",,"{'mean': 1.7758620689655173, 'std': 0.9184866165882792, 'count': 58}","{'mean': 1.1111111111111112, 'std': 0.33333333333333337, 'count': 9}","{'mean': 1.2222222222222223, 'std': 0.4409585518440984, 'count': 9}","{'mean': 1.711111111111111, 'std': 0.9913769630308558, 'count': 45}","{'mean': 1.2777777777777777, 'std': 0.46088859896247675, 'count': 18}","{'mean': 1.7073170731707317, 'std': 0.9809154509697661, 'count': 41}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': 0.0, 'count': 10}","{'mean': 2.420289855072464, 'std': 2.039361182428352, 'count': 69}","{'mean': 1.0909090909090908, 'std': 0.30151134457776363, 'count': 11}","{'mean': 1.0769230769230769, 'std': 0.2773500981126146, 'count': 13}",,"{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 2.125, 'std': 1.0910894511799618, 'count': 64}","{'mean': 1.1578947368421053, 'std': 0.3746343246326776, 'count': 19}","{'mean': 1.0, 'std': 0.0, 'count': 6}","{'mean': 1.6428571428571428, 'std': 0.7265497673662351, 'count': 42}","{'mean': 1.125, 'std': 0.3535533905932738, 'count': 8}","{'mean': 2.0, 'std': 1.1832159566199232, 'count': 61}","{'mean': 1.7073170731707317, 'std': 0.9550890649312344, 'count': 41}","{'mean': 1.0, 'std': 0.0, 'count': 8}","{'mean': 1.5333333333333334, 'std': 0.7760791522613609, 'count': 30}","{'mean': 1.125, 'std': 0.3415650255319866, 'count': 16}","{'mean': 1.0, 'std': 0.0, 'count': 9}",,"{'mean': 1.0344827586206897, 'std': 0.1856953381770519, 'count': 29}","{'mean': 1.0, 'std': 0.0, 'count': 9}","{'mean': 1.2142857142857142, 'std': 0.42581531362632, 'count': 14}","{'mean': 1.5, 'std': 0.7071067811865476, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.25, 'std': 0.5, 'count': 4}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 5}","{'mean': 1.0, 'std': 0.0, 'count': 7}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 4}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 4}","{'mean': 1.0, 'std': 0.0, 'count': 12}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 4}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': 0.0, 'count': 5}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.3333333333333333, 'std': 0.5773502691896257, 'count': 3}","{'mean': 1.0, 'std': 0.0, 'count': 6}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.4, 'std': 0.5477225575051661, 'count': 5}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 4}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 11}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 4}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.2, 'std': 0.4472135954999579, 'count': 5}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 11}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 15}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 8}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 3}","{'mean': 1.0, 'std': nan, 'count': 1}","{'mean': 1.0, 'std': 0.0, 'count': 6}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 4}","{'mean': 1.0, 'std': 0.0, 'count': 2}","{'mean': 1.0, 'std': 0.0, 'count': 2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
