dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B00009,2019-10-01 00:23:00,2019-10-01 00:35:00,264,264,
B00013,2019-10-01 00:11:29,2019-10-01 00:13:22,264,264,
B00014,2019-10-01 00:11:43,2019-10-01 00:37:20,264,264,
B00014,2019-10-01 00:56:29,2019-10-01 00:57:47,264,264,
B00014,2019-10-01 00:23:09,2019-10-01 00:28:27,264,264,
B00021,2019-10-01 00:00:48,2019-10-01 00:07:12,129,129,
B00021,2019-10-01 00:47:23,2019-10-01 00:53:25,57,57,
B00021,2019-10-01 00:10:06,2019-10-01 00:19:50,173,173,
B00021,2019-10-01 00:51:37,2019-10-01 01:06:14,226,226,
B00021,2019-10-01 00:28:23,2019-10-01 00:34:33,56,56,
B00021,2019-10-01 00:31:17,2019-10-01 00:51:52,82,82,
B00037,2019-10-01 00:07:41,2019-10-01 00:15:23,264,71,
B00037,2019-10-01 00:13:38,2019-10-01 00:25:51,264,39,
B00037,2019-10-01 00:42:40,2019-10-01 00:53:47,264,188,
B00037,2019-10-01 00:58:46,2019-10-01 01:10:11,264,91,
B00037,2019-10-01 00:09:49,2019-10-01 00:14:37,264,71,
B00037,2019-10-01 00:22:35,2019-1
