VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

2,2018-11-01 00:25:03,2018-11-01 00:25:03,N,1,193,193,1,.00,2.5,0.5,0.5,0,0,,0.3,3.8,1,1
1,2018-11-01 00:06:02,2018-11-01 00:19:28,N,1,18,167,1,3.30,13,0.5,0.5,0,0,,0.3,14.3,2,1
2,2018-11-01 00:09:02,2018-11-01 00:15:21,N,1,256,80,1,1.16,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2018-11-01 00:49:56,2018-11-01 01:04:55,N,1,112,164,1,3.69,14.5,0.5,0.5,0,5.76,,0.3,21.56,1,1
2,2018-11-01 00:32:47,2018-11-01 00:37:17,N,1,255,256,2,.75,5,0.5,0.5,1.26,0,,0.3,7.56,1,1
2,2018-11-01 00:55:39,2018-11-01 00:57:30,N,1,255,255,2,.40,3.5,0.5,0.5,1,0,,0.3,5.8,1,1
2,2018-11-01 00:29:17,2018-11-01 00:33:14,N,1,255,112,1,.73,4.5,0.5,0.5,1.16,0,,0.3,6.96,1,1
2,2018-11-01 00:41:17,2018-11-01 00:52:21,N,1,112,37,1,2.00,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,2018-11-01 00:19:53,2018-11-01 
