VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

2,2018-07-01 00:41:27,2018-07-01 01:06:15,N,1,33,50,5,6.37,22.5,0.5,0.5,4.76,0,,0.3,28.56,1,1
1,2018-07-01 00:43:30,2018-07-01 00:59:51,N,1,25,224,1,5.30,18,0,0.5,3.76,0,,0.3,22.56,1,1
2,2018-07-01 01:00:40,2018-07-01 01:13:36,N,1,65,225,1,2.98,12,0.5,0.5,0,0,,0.3,13.3,2,1
1,2018-07-01 00:23:43,2018-07-01 00:32:49,N,1,7,223,1,1.40,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2018-07-01 00:20:41,2018-07-01 00:24:05,N,1,33,25,2,1.03,5,0.5,0.5,1.89,0,,0.3,8.19,1,1
2,2018-07-01 00:26:00,2018-07-01 00:33:18,N,1,25,181,2,1.31,7,0.5,0.5,0,0,,0.3,8.3,1,1
2,2018-07-01 00:38:08,2018-07-01 00:44:08,N,1,25,195,2,1.33,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2018-07-01 00:19:44,2018-07-01 00:35:24,N,1,85,225,1,2.88,12.5,0.5,0.5,0,0,,0.3,15.75,1,1
1,2018-07-01 00:17:00,2018-07-01 00:38:0
