VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

2,2018-09-01 00:52:38,2018-09-01 01:05:00,N,1,92,134,1,5.47,17,0.5,0.5,0,0,,0.3,18.3,1,1
2,2018-09-01 00:32:40,2018-09-01 00:47:18,N,1,145,82,5,3.47,13.5,0.5,0.5,0,0,,0.3,14.8,2,1
2,2018-09-01 00:07:55,2018-09-01 00:15:19,N,1,80,97,1,1.90,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2018-09-01 00:53:25,2018-09-01 00:58:03,N,1,112,255,1,.69,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2018-09-01 00:14:33,2018-09-01 00:30:57,N,1,66,255,2,3.83,14.5,0.5,0.5,1,0,,0.3,16.8,1,1
2,2018-09-01 00:52:41,2018-09-01 00:58:54,N,1,112,112,2,1.10,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2018-09-01 00:26:06,2018-09-01 00:35:11,N,1,255,112,1,1.63,8,0.5,0.5,1.86,0,,0.3,11.16,1,1
2,2018-09-01 00:45:33,2018-09-01 00:53:27,N,1,112,255,1,1.81,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2018-09-01 00:04:36,2018-09-01 00:27:24
