VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

2,2017-08-01 00:21:35,2017-08-01 00:27:59,N,1,43,238,1,1.43,7,0.5,0.5,1.66,0,,0.3,9.96,1,1
2,2017-08-01 00:37:27,2017-08-01 00:39:02,N,1,166,166,1,.44,3.5,0.5,0.5,0,0,,0.3,4.8,2,1
2,2017-08-01 00:04:03,2017-08-01 00:05:45,N,1,49,189,1,.32,3.5,0.5,0.5,0,0,,0.3,4.8,2,1
2,2017-08-01 00:05:23,2017-08-01 00:09:20,N,1,43,238,2,1.12,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1
2,2017-08-01 00:29:09,2017-08-01 00:34:44,N,1,24,41,2,1.05,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2017-08-01 00:39:54,2017-08-01 00:53:04,N,1,92,135,1,2.94,12,0.5,0.5,0,0,,0.3,13.3,1,1
2,2017-08-01 00:15:08,2017-08-01 00:39:26,N,1,226,134,1,9.88,28,0.5,0.5,5.86,0,,0.3,35.16,1,1
1,2017-08-01 00:01:56,2017-08-01 00:09:15,N,1,75,141,1,1.70,8,0.5,0.5,1.85,0,,0.3,11.15,1,1
2,2017-08-01 00:38:24,2017-08-01 01:
