hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0005,B02510,2019-05-01 00:03:11,2019-05-01 00:32:51,88,92,
HV0003,B02764,2019-05-01 00:10:14,2019-05-01 00:17:00,177,225,
HV0003,B02764,2019-05-01 00:19:04,2019-05-01 00:24:08,225,36,
HV0003,B02764,2019-05-01 00:57:04,2019-05-01 01:04:50,13,144,
HV0003,B02764,2019-05-01 00:08:52,2019-05-01 00:12:54,234,113,
HV0003,B02764,2019-05-01 00:20:38,2019-05-01 00:28:01,234,79,
HV0003,B02764,2019-05-01 00:41:36,2019-05-01 00:43:19,137,107,
HV0003,B02764,2019-05-01 00:52:42,2019-05-01 00:58:21,234,68,
HV0003,B02765,2019-05-01 00:12:27,2019-05-01 00:18:33,256,17,
HV0003,B02765,2019-05-01 00:48:56,2019-05-01 01:00:08,114,230,
HV0003,B02764,2019-05-01 00:21:39,2019-05-01 00:44:17,148,61,
HV0003,B02864,2019-05-01 00:04:09,2019-05-01 00:15:14,159,47,1
HV0003,B02864,2019-05-01 00:19:26,2019-05-01 00:53:56,47,76,
HV0003,B02875,2019-05-01 00:05:24,2019-05-01 00:22:30,87,230,
HV0003,B02875,2019-05-01 00:27:4
