VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

2,2017-06-01 00:33:45,2017-06-01 01:39:52,N,4,35,265,1,90.41,404.5,0.5,0.5,0,5.76,,0.3,413.51,2,1
2,2017-06-01 00:33:55,2017-06-01 23:36:23,N,1,263,75,1,.38,4,0.5,0.5,1.59,0,,0.3,6.89,1,1
2,2017-06-01 00:12:07,2017-06-01 00:12:07,N,1,255,43,1,9.49,31,0.5,0.5,8.08,0,,0.3,40.38,1,1
2,2017-06-01 00:17:26,2017-06-01 00:20:01,N,1,256,256,1,.59,4,0.5,0.5,1.06,0,,0.3,6.36,1,1
2,2017-06-01 00:17:22,2017-06-01 00:24:21,N,1,130,135,3,2.08,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2017-06-01 00:39:41,2017-06-01 00:42:17,N,1,256,255,1,.57,4,0.5,0.5,1.32,0,,0.3,6.62,1,1
2,2017-06-01 00:37:31,2017-06-01 00:47:38,N,1,66,148,1,2.30,10,0.5,0.5,2.26,0,,0.3,13.56,1,1
2,2017-06-01 00:37:05,2017-06-01 00:52:48,N,1,256,40,5,4.85,16.5,0.5,0.5,3.56,0,,0.3,21.36,1,1
2,2017-06-01 00:0
